Title,Year,Rating,Votes,Runtime(min),Genres,Overview,Director,Actors
The Intouchables,2011,8.273,17547,113,"Drama, Comedy",A true story of two men who should never have met – a quadriplegic aristocrat who was injured in a paragliding accident and a young man from the projects.,Olivier Nakache,"François Cluzet, Omar Sy, Dominique Henry, Anne Le Ny, Clotilde Mollet"
City Lights,1931,8.271,2244,87,"Comedy, Drama, Romance",A tramp falls in love with a beautiful blind flower girl. His on-and-off friendship with a wealthy man allows him to be the girl's benefactor and suitor.,Charlie Chaplin,"Charlie Chaplin, Virginia Cherrill, Florence Lee, Harry Myers, Al Ernest Garcia"
Violet Evergarden: The Movie,2020,8.268,440,140,"Animation, Fantasy, Romance, Drama","As the world moves on from the war and technological advances bring changes to her life, Violet still hopes to see her lost commanding officer again.",Taichi Ishidate,"Yui Ishikawa, Daisuke Namikawa, Takehito Koyasu, Hidenobu Kiuchi, Haruka Tomatsu"
Once Upon a Studio,2023,8.265,377,9,"Animation, Family, Fantasy, Comedy","Created for Disney's 100th anniversary, the short features Mickey Mouse corralling a gallery of legendary Disney characters for a group photo.",Dan Abraham,"Chris Diamantopoulos, Kaitlyn Robrock, Tony Anselmo, Bill Farmer, Jim Cummings"
Paths of Glory,1957,8.258,3005,88,"War, Drama, History",A commanding officer defends three scapegoats on trial for a failed offensive that occurred within the French Army in 1916.,Stanley Kubrick,"Kirk Douglas, Ralph Meeker, Adolphe Menjou, George Macready, Wayne Morris"
Paths of Glory,1957,8.259,3005,88,"War, Drama, History",A commanding officer defends three scapegoats on trial for a failed offensive that occurred within the French Army in 1916.,Stanley Kubrick,"Kirk Douglas, Ralph Meeker, Adolphe Menjou, George Macready, Wayne Morris"
The Lion King,1994,8.256,18677,89,"Family, Animation, Drama","Young lion prince Simba, eager to one day become king of the Pride Lands, grows up under the watchful eye of his father Mufasa; all the while his villainous uncle Scar conspires to take the throne for himself. Amid betrayal and tragedy, Simba must confront his past and find his rightful place in the Circle of Life.",Roger Allers,"Matthew Broderick, Moira Kelly, Nathan Lane, Ernie Sabella, James Earl Jones"
The Legend of 1900,1998,8.254,2295,170,"Drama, Music","The story of a virtuoso piano player who lives his entire life aboard an ocean liner. Born and raised on the ship, 1900 learned about the outside world through interactions with passengers, never setting foot on land, even for the love of his life. Years later, the ship may be destroyed, and a former band member fears that 1900 may still be aboard, willing to go down with the ship.",Giuseppe Tornatore,"Tim Roth, Pruitt Taylor Vince, Mélanie Thierry, Bill Nunn, Gabriele Lavia"
Le Trou,1960,8.252,500,132,"Drama, Thriller, Crime","Four prison inmates have been hatching a plan to literally dig out of jail when another prisoner, Claude Gaspard, is moved into their cell. They take a risk and share their plan with the newcomer. Over the course of three days, the prisoners and friends break through the concrete floor using a bed post and begin to make their way through the sewer system -- yet their escape is anything but assured.",Jacques Becker,"Michel Constantin, Jean Keraudy, Philippe Leroy, Raymond Meunier, Marc Michel"
Clouds,2020,8.251,1015,121,"Music, Drama, Romance","Young musician Zach Sobiech discovers his cancer has spread, leaving him just a few months to live. With limited time, he follows his dream and makes an album, unaware that it will soon be a viral music phenomenon.",Justin Baldoni,"Fin Argus, Sabrina Carpenter, Madison Iseman, Neve Campbell, Tom Everett Scott"
Oldboy,2003,8.25,8948,120,"Drama, Thriller, Mystery, Action","With no clue how he came to be imprisoned, drugged and tortured for 15 years, a desperate man seeks revenge on his captors.",Park Chan-wook,"Choi Min-sik, Yoo Ji-tae, Kang Hye-jung, Kim Byeong-ok, Ji Dae-han"
Rascal Does Not Dream of a Dreaming Girl,2019,8.245,533,90,"Animation, Romance, Drama, Fantasy","In Fujisawa, Sakuta Azusagawa is in his second year of high school. Blissful days with his girlfriend and upperclassman, Mai Sakurajima, are interrupted by the appearance of his first crush, Shoko Makinohara.",Soichi Masui,"Kaito Ishikawa, Asami Seto, Yurika Kubo, Nao Toyama, Atsumi Tanezaki"
Taylor Swift: Reputation Stadium Tour,2018,8.244,401,125,Music,"Taylor Swift takes the stage in Dallas for the Reputation Stadium Tour and celebrates a monumental night of music, memories and visual magic.",Paul Dugdale,"Taylor Swift, Charli xcx, Camila Cabello, David Cook, Amos Heller"
Klaus,2019,8.2,4238,96,"Animation, Family, Adventure, Comedy, Fantasy","When Jesper distinguishes himself as the Postal Academy's worst student, he is sent to Smeerensburg, a small village located on an icy island above the Arctic Circle, where grumpy inhabitants barely exchange words, let alone letters. Jesper is about to give up and abandon his duty as a postman when he meets local teacher Alva and Klaus, a mysterious carpenter who lives alone in a cabin full of handmade toys.",Sergio Pablos,"Jason Schwartzman, J.K. Simmons, Rashida Jones, Joan Cusack, Norm Macdonald"
Life in a Year,2020,8.241,1908,107,"Drama, Romance","A 17 year old finds out that his girlfriend is dying, so he sets out to give her an entire life, in the last year she has left.",Mitja Okorn,"Jaden Smith, Cara Delevingne, Cuba Gooding Jr., Chris D'Elia, JT Neal"
Five Feet Apart,2019,8.238,5697,116,"Romance, Drama","Seventeen-year-old Stella spends most of her time in the hospital as a cystic fibrosis patient. Her life is full of routines, boundaries and self-control — all of which get put to the test when she meets Will, an impossibly charming teen who has the same illness. There's an instant flirtation, though restrictions dictate that they must maintain a safe distance between them. As their connection intensifies, so does the temptation to throw the rules out the window and embrace that attraction.",Justin Baldoni,"Haley Lu Richardson, Cole Sprouse, Moisés Arias, Kimberly Hebert Gregory, Parminder Nagra"
I Want to Eat Your Pancreas,2018,8.238,1601,108,"Animation, Drama, Romance","After his classmate and crush is diagnosed with a pancreatic disease, an average high schooler sets out to make the most of her final days.",Shinichiro Ushijima,"Mahiro Takasugi, Lynn, Yukiyo Fujii, Yuma Uchida, Jun Fukushima"
Avengers: Endgame,2019,8.2,26226,181,"Adventure, Science Fiction, Action","After the devastating events of Avengers: Infinity War, the universe is in ruins due to the efforts of the Mad Titan, Thanos. With the help of remaining allies, the Avengers must assemble once more in order to undo Thanos' actions and restore order to the universe once and for all, no matter what consequences may be in store.",Anthony Russo,"Robert Downey Jr., Chris Evans, Mark Ruffalo, Chris Hemsworth, Scarlett Johansson"
Come and See,1985,8.238,1573,142,"Drama, War","The invasion of a village in Byelorussia by German forces sends young Florya into the forest to join the weary Resistance fighters, against his family's wishes. There he meets a girl, Glasha, who accompanies him back to his village. On returning home, Florya finds his family and fellow peasants massacred. His continued survival amidst the brutal debris of war becomes increasingly nightmarish, a battle between despair and hope.",Elem Klimov,"Aleksei Kravchenko, Olga Mironova, Liubomiras Laucevicius, Vladas Bagdonas, Jüri Lumiste"
"The Boy, the Mole, the Fox and the Horse",2022,8.235,617,35,"Animation, Family, Adventure, Fantasy","The unlikely friendship of a boy, a mole, a fox and a horse traveling together in the boy's search for home.",Peter Baynton,"Jude Coward Nicoll, Tom Hollander, Idris Elba, Gabriel Byrne"
Avengers: Infinity War,2018,8.2,30404,149,"Adventure, Action, Science Fiction","As the Avengers and their allies have continued to protect the world from threats too large for any one hero to handle, a new danger has emerged from the cosmic shadows: Thanos. A despot of intergalactic infamy, his goal is to collect all six Infinity Stones, artifacts of unimaginable power, and use them to inflict his twisted will on all of reality. Everything the Avengers have fought for has led up to this moment - the fate of Earth and existence itself has never been more uncertain.",Joe Russo,"Robert Downey Jr., Chris Evans, Chris Hemsworth, Josh Brolin, Mark Ruffalo"
Green Book,2018,8.234,11937,130,"Drama, History","Tony Lip, a bouncer in 1962, is hired to drive pianist Don Shirley on a tour through the Deep South in the days when African Americans, forced to find alternate accommodations and services due to segregation laws below the Mason-Dixon Line, relied on a guide called The Negro Motorist Green Book.",Peter Farrelly,"Viggo Mortensen, Mahershala Ali, Linda Cardellini, Sebastian Maniscalco, Dimiter D. Marinov"
Evangelion: 3.0+1.0 Thrice Upon a Time,2021,8.2,835,155,"Animation, Action, Science Fiction, Drama","In the aftermath of the Fourth Impact, stranded without their Evangelions, Shinji, Asuka and Rei find refuge in one of the rare pockets of humanity that still exist on the ruined planet Earth. There, each lives a life far different from their days as an Evangelion pilot. However, the danger to the world is far from over. A new impact is looming on the horizon—one that will prove to be the true end of Evangelion.",Kazuya Tsurumaki,"Megumi Ogata, Yuko Miyamura, Maaya Sakamoto, Megumi Hayashibara, Kotono Mitsuishi"
Out of the Clear Blue Sky,2019,8.232,353,112,"Comedy, Drama, Music","Returning to Earth as an imitator, the legendary Mexican artist Pedro Infante must prove that he is no longer a womanizer to enter paradise.",Pepe Bojórquez,"Omar Chaparro, Ana Claudia Talancón, Stephanie Cayo, Lupita Sandoval, Yare Santana"
Mommy,2014,8.2,2745,138,Drama,"A peculiar neighbor offers hope to a recent widow who is struggling to raise a teenager who is unpredictable and, sometimes, violent.",Xavier Dolan,"Anne Dorval, Suzanne Clément, Antoine Olivier Pilon, Patrick Huard, Alexandre Goyette"
Il Sorpasso,1962,8.2,788,105,"Drama, Comedy","Roberto, a shy law student in Rome, meets Bruno, a forty-year-old exuberant, capricious man, who takes him for a drive through the Roman and Tuscany countries in the summer. When their journey starts to blend into their daily lives though, the pair’s newfound friendship is tested.",Dino Risi,"Vittorio Gassman, Jean-Louis Trintignant, Catherine Spaak, Claudio Gora, Luciana Angiolillo"
The Matrix,1999,8.224,26261,136,"Action, Science Fiction","Set in the 22nd century, The Matrix tells the story of a computer hacker who joins a group of underground insurgents fighting the vast and powerful computers who now rule the earth.",Lana Wachowski,"Keanu Reeves, Laurence Fishburne, Carrie-Anne Moss, Hugo Weaving, Gloria Foster"
Wolf Children,2012,8.223,2319,117,"Animation, Family, Drama, Fantasy","After her werewolf lover unexpectedly dies in an accident, a woman must find a way to raise the son and daughter that she had with him. However, their inheritance of their father's traits prove to be a challenge for her.",Mamoru Hosoda,"Haru Kuroki, Yukito Nishii, Aoi Miyazaki, Takao Osawa, Momoka Ohno"
Flow,2024,8.218,1800,85,"Animation, Fantasy, Adventure","A solitary cat, displaced by a great flood, finds refuge on a boat with various species and must navigate the challenges of adapting to a transformed world together.",Gints Zilbalodis,
Justice League Dark: Apokolips War,2020,8.222,1488,90,"Animation, Action, Science Fiction, Adventure, Fantasy","Earth is decimated after intergalactic tyrant Darkseid has devastated the Justice League in a poorly executed war by the DC Super Heroes. Now the remaining bastions of good – the Justice League, Teen Titans, Suicide Squad and assorted others – must regroup, strategize and take the war to Darkseid in order to save the planet and its surviving inhabitants.",Matt Peters,"Matt Ryan, Jerry O'Connell, Taissa Farmiga, Jason O'Mara, Rosario Dawson"
